issued_at_utc,window,horizon,target_ts_utc,station_id,event,p_model,p_clim,p_pers,model_version
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,51,bike,0.8598,0.301,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,52,bike,0.9942,0.999,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,53,bike,0.9935,0.988,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,54,bike,0.879,0.9859,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,55,bike,0.9911,0.997,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,56,bike,0.9678,0.9769,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,57,bike,0.9076,0.9709,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,58,bike,0.997,0.998,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,59,bike,0.7516,0.8163,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,6,bike,0.64,0.746,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,60,bike,0.8939,0.8183,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,61,bike,0.8422,0.8614,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,62,bike,0.9973,0.9869,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,63,bike,0.9873,0.989,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,64,bike,0.9415,0.9398,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,65,bike,0.9537,0.9869,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,66,bike,0.9195,0.9859,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,67,bike,0.9772,0.997,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,68,bike,0.9787,0.997,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,69,bike,0.9985,0.996,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,7,bike,0.6677,0.7269,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,70,bike,0.9568,0.9578,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,71,bike,0.7964,0.8404,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,72,bike,0.7721,0.7179,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,73,bike,0.6177,0.6275,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,74,bike,0.8285,0.8283,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,75,bike,0.9504,0.9006,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,76,bike,0.9423,0.6506,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,77,bike,0.9804,0.9227,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,78,bike,0.8897,0.9337,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,79,bike,0.8799,0.997,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,8,bike,0.9053,0.8936,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,80,bike,0.9837,0.9639,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,82,bike,0.9004,0.8956,0.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,83,bike,0.9401,0.9448,1.0,v1
2026-07-22T15:05:04.855031+00:00,morning,long,2026-07-23T07:30:00+00:00,84,bike,0.9463,0.9267,1.0,v1
